Date,Item,Quantity,Customer
7/23/2021,8542671,3,Customer 3
7/23/2021,8817149,2,Customer 3
7/23/2021,8817150,14,Customer 3
7/23/2021,8808765,5,Customer 3
7/23/2021,8808767,1,Customer 3
7/23/2021,8817151,10,Customer 3
7/23/2021,8810132,2,Customer 3
7/23/2021,8542671,4,Customer 3
7/23/2021,8542671,1,Customer 3
7/23/2021,8808762,9,Customer 3
7/23/2021,8808763,7,Customer 3
7/23/2021,8808763,2,Customer 3
7/23/2021,8542671,3,Customer 3
7/23/2021,8542671,4,Customer 3
7/23/2021,8817152,9,Customer 3
7/23/2021,8810132,4,Customer 3
7/23/2021,8814544,2,Customer 3
7/23/2021,8810132,4,Customer 3
7/23/2021,8542672,2,Customer 3
7/23/2021,1521038,60,Customer 3
7/23/2021,1521039,24,Customer 3
7/23/2021,8813411,8,Customer 3
7/23/2021,8544764,4,Customer 3
7/23/2021,8544761,6,Customer 3
7/23/2021,524301968,324,Customer 3
7/23/2021,8544761,6,Customer 3
7/23/2021,8545921,2,Customer 3
7/23/2021,8544761,6,Customer 3
7/23/2021,1614672,135,Customer 3
7/23/2021,4014260,54,Customer 3
7/23/2021,4002491,90,Customer 3
7/23/2021,1603898,45,Customer 3
7/23/2021,4029061,240,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,4056820,76,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,8545921,2,Customer 3
7/23/2021,8813411,10,Customer 3
7/23/2021,8813412,12,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,1521038,30,Customer 3
7/23/2021,8813411,22,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,8544762,2,Customer 3
7/23/2021,8813411,16,Customer 3
7/23/2021,8810132,1,Customer 3
7/23/2021,8810132,1,Customer 3
7/23/2021,8810132,2,Customer 3
7/20/2021,1220094,5,Customer 1
7/23/2021,8810132,1,Customer 3
7/23/2021,144567-099,12,Customer 2
7/23/2021,FREIGHTCROWN,12,Customer 2
7/23/2021,144567-099,12,Customer 2
7/23/2021,FREIGHTCROWN,12,Customer 2
7/23/2021,144567-099,12,Customer 2
7/23/2021,FREIGHTCROWN,12,Customer 2
7/20/2021,1220029P032,1,Customer 1
7/20/2021,1220029P032,4,Customer 1
7/20/2021,1220081P032,2,Customer 1
7/20/2021,1220029P032,1,Customer 1
7/20/2021,1001187809,1,Customer 1
7/20/2021,1001187810P032,3,Customer 1
7/20/2021,1001187810P032,3,Customer 1
7/20/2021,1001187810P032,1,Customer 1
7/20/2021,1001176492J,1,Customer 1
7/20/2021,1001176490J,3,Customer 1
7/20/2021,1001176492J,5,Customer 1
7/20/2021,1001176490J,5,Customer 1
7/20/2021,1001246922,1,Customer 1
7/20/2021,1220108,1,Customer 1
7/20/2021,1220108P582,1,Customer 1
7/20/2021,1220097,1,Customer 1
7/20/2021,1220097,1,Customer 1
7/20/2021,1001176490J,4,Customer 1
7/20/2021,1001246922,1,Customer 1
7/20/2021,1001094787,1,Customer 1
7/20/2021,1001094787,3,Customer 1
7/20/2021,1001208664,12,Customer 1
7/21/2021,1001213323J,3,Customer 1
7/21/2021,1001213324J,3,Customer 1
7/21/2021,1001092950P582,1,Customer 1
7/21/2021,1001246671P002,1,Customer 1
7/21/2021,1001246671P002,1,Customer 1
7/21/2021,1001246671P002,1,Customer 1
7/21/2021,1001092950P582,1,Customer 1
7/21/2021,1220032P136,1,Customer 1
7/21/2021,1001092950P007,1,Customer 1
7/21/2021,1001092950P582,1,Customer 1
7/21/2021,1001163064,6,Customer 1
7/21/2021,1001187809,3,Customer 1
7/21/2021,1220032P136,1,Customer 1
7/21/2021,1220032P136,1,Customer 1
7/16/2021,T384893,100,Customer 4
7/16/2021,T335215,50,Customer 4
7/16/2021,T331550,18,Customer 4
7/16/2021,DP43383,3,Customer 4
7/16/2021,T379787,15,Customer 4
7/16/2021,T286708,6,Customer 4
7/16/2021,T340444,32,Customer 4
7/16/2021,T430160,24,Customer 4
7/16/2021,T430163,12,Customer 4
7/16/2021,KK23303,450,Customer 4
7/19/2021,T430163,12,Customer 4
7/19/2021,T379787,21,Customer 4
7/19/2021,T281544,16,Customer 4
7/19/2021,T401552,64,Customer 4
7/19/2021,T282429,8,Customer 4
7/19/2021,T311379,64,Customer 4
7/20/2021,T282429,40,Customer 4
7/20/2021,T379736,3,Customer 4
7/20/2021,T379787,18,Customer 4
7/20/2021,T379788,3,Customer 4
7/21/2021,1001253022P136,1,Customer 1
7/20/2021,T401552,48,Customer 4
7/20/2021,T357703,48,Customer 4
7/20/2021,T365472,3,Customer 4
7/20/2021,T412519,41,Customer 4
7/20/2021,T392741,175,Customer 4
7/21/2021,1220094,4,Customer 1
7/21/2021,T281544,16,Customer 4
7/21/2021,T282429,24,Customer 4
7/21/2021,1001080861,6,Customer 1
7/21/2021,T401552,40,Customer 4
7/21/2021,T342376,2,Customer 4
7/21/2021,KK72365,16,Customer 4
7/21/2021,1001177653J,1,Customer 1
7/22/2021,T401552,56,Customer 4
7/22/2021,T290271,3,Customer 4
7/21/2021,1001213323J,1,Customer 1
7/21/2021,1001213324J,1,Customer 1
7/22/2021,KK16641,100,Customer 4
7/22/2021,T365472,2,Customer 4
7/21/2021,1001177654J,1,Customer 1
7/21/2021,1001176492J,4,Customer 1
7/22/2021,T397537,77,Customer 4
7/21/2021,1001176492J,4,Customer 1
7/21/2021,1001177654J,3,Customer 1
7/21/2021,1001213323J,1,Customer 1
7/21/2021,1001213324J,1,Customer 1
7/22/2021,T172464,310,Customer 4
7/21/2021,1001208664,2,Customer 1
7/21/2021,1001208664,9,Customer 1
7/21/2021,1001094787,1,Customer 1
7/22/2021,AT483809,3,Customer 4
7/21/2021,1001094787,2,Customer 1
7/16/2021,T172464,350,Customer 4
